delta,frequency
0.000335178,0
0.001131899,5261000
0.00112862,10522000
0.00052534,15783000
0.001522061,21044000
0.000318782,26305000
0.001115502,31566000
0.000912223,36827000
0.000508944,42088000
0.001305665,47349000
0.000502385,52610000
0.001099106,57871000
0.000695827,63132000
0.000692548,68393000
0.000889268,73654000
0.000885989,78915000
0.00068271,84176000
0.00087943,89437000
0.000676151,94698000
0.000872872,99959000
0.000869593,105220000
0.000666313,110481000
0.000863034,115742000
0.000659755,121003000
0.000856476,126264000
0.001053196,131525000
0.000649917,136786000
0.000846638,142047000
0.000843358,147308000
0.000440079,152569000
0.0010368,157830000
0.000233521,163091000
0.001030241,168352000
0.000626962,173613000
0.000823683,178874000
0.000820404,184135000
0.000417124,189396000
0.001013845,194657000
0.000410566,199918000
0.000807286,205179000
0.000404007,210440000
0.000800728,215701000
0.000797449,220962000
0.000594169,226223000
0.00079089,231484000
0.000587611,236745000
0.000584331,242006000
0.000781052,247267000
0.000577773,252528000
0.000574494,257789000
0.000771214,263050000
0.000367935,268311000
0.000964656,273572000
0.000561377,278833000
0.000558097,284094000
0.000754818,289355000
0.000551539,294616000
0.000548259,299877000
0.00074498,305138000
0.000541701,310399000
0.000338422,315660000
0.000935142,320921000
0.000131863,326182000
0.000928584,331443000
0.000325305,336704000
0.000522025,341965000
0.000918746,347226000
0.000315467,352487000
0.000912187,357748000
0.000308908,363009000
0.000705629,368270000
0.00070235,373531000
0.00029907,378792000
0.000695791,384053000
0.000492512,389314000
0.000489233,394575000
0.000885953,399836000
8.2674E-05,405097000
0.000879395,410358000
0.000276115,415619000
0.000472836,420880000
0.000669557,426141000
0.000266278,431402000
0.000862998,436663000
0.000259719,441924000
0.00045644,447185000
0.000653161,452446000
4.98812E-05,457707000
0.000846602,462968000
0.000443323,468229000
0.000240043,473490000
0.001036764,478751000
0.000166515,484012000
0.001230206,489273000
0.000226926,494534000
0.000423647,499795000
0.001020368,505056000
0.000182912,510317000
0.001213809,515578000
0.00021053,520839000
0.000607251,526100000
0.000603971,531361000
0.000200692,536622000
0.000797413,541883000
5.86642E-06,547144000
0.000790854,552405000
0.000387575,557666000
0.000184296,562927000
0.000981016,568188000
0.000222263,573449000
0.000974458,578710000
2.88213E-05,583971000
0.000567899,589232000
0.00076462,594493000
0.000238659,599754000
0.001358062,605015000
0.000245218,610276000
0.000951503,615537000
0.000548224,620798000
5.50555E-05,626059000
0.001141665,631320000
0.000461614,636581000
0.001135107,641842000
0.000131827,647103000
0.000528548,652364000
0.000725269,657625000
0.00012199,662886000
0.00071871,668147000
0.000115431,673408000
0.000712152,678669000
0.000108872,683930000
0.000705593,689191000
0.000102314,694452000
0.000699035,699713000
0.000295755,704974000
0.000492476,710235000
0.000689197,715496000
8.59175E-05,720757000
0.000882638,726018000
0.000279359,731279000
0.00067608,736540000
0.0002728,741801000
0.000669521,747062000
0.000266242,752323000
0.000662963,757584000
0.000459683,762845000
0.000456404,768106000
0.000253125,773367000
0.000449846,778628000
0.000446566,783889000
0.000443287,789150000
0.000640008,794411000
0.000236728,799672000
0.000833449,804933000
3.01699E-05,810194000
0.000626891,815455000
0.000423611,820716000
0.000220332,825977000
0.000817053,831238000
0.000213773,836499000
0.000410494,841760000
0.000607215,847021000
0.000203936,852282000
0.000800656,857543000
0.000197377,862804000
0.000394098,868065000
0.000590819,873326000
1.24607E-05,878587000
0.00098426,883848000
1.90193E-05,889109000
0.000777701,894370000
0.000374422,899631000
0.000371143,904892000
0.000767864,910153000
3.54156E-05,915414000
0.000761305,920675000
0.000358026,925936000
0.000554747,931197000
0.000551467,936458000
0.000348188,941719000
0.000544909,946980000
0.000541629,952241000
6.16498E-05,957502000
0.000935071,962763000
0.000131792,968024000
0.000528512,973285000
0.000925233,978546000
7.80462E-05,983807000
0.000918675,989068000
8.46047E-05,994329000
0.000712116,999590000
0.000508837,1004851000
0.000305557,1010112000
0.000702278,1015373000
9.89989E-05,1020634000
0.00069572,1025895000
0.00029244,1031156000
0.000489161,1036417000
0.000485882,1041678000
0.000282603,1046939000
0.000879323,1052200000
0.000276044,1057461000
0.000272765,1062722000
0.000869485,1067983000
0.000133794,1073244000
0.000862927,1078505000
0.000259648,1083766000
5.63683E-05,1089027000
0.001053089,1094288000
0.00015019,1099549000
0.00104653,1104810000
0.000243251,1110071000
0.000239972,1115332000
0.000836693,1120593000
3.34134E-05,1125854000
0.000830134,1131115000
0.000226855,1136376000
0.000623576,1141637000
0.000220296,1146898000
0.000417017,1152159000
0.000613738,1157420000
1.04585E-05,1162681000
0.000807179,1167942000
3.89992E-06,1173203000
0.000400621,1178464000
0.000597341,1183725000
5.9379E-06,1188986000
0.000990783,1194247000
1.24964E-05,1199508000
0.000584224,1204769000
0.000580945,1210030000
2.23343E-05,1215291000
0.000974386,1220552000
